Species,Catalog,ND2 GenBank,COI GenBank,Longitude,Latitude,Name used,population
C. formosa,ALTIBAL_99,MW401900,MW401934,-99.470826,17.358891,Gue_03,centro
C. formosa,CONACYT_0873,MW401873,MW401942,-103.40459,18.300109,Mic_01,centro
C. formosa,CONACYT_0897,MW401874,MW401938,-100.79667,17.203333,Gue_05,centro
C. formosa,CONACYT_0909,MW401876,MW401941,-100.79667,17.203333,Gue_06,centro
C. formosa,HJ6_022,MW401875,MW401936,-100.82156,17.194778,Gue_04,centro
C. formosa,MOLGRO_278,MW401902,MW401935,-99.470826,17.358891,Gue_01,centro
C. formosa,MOLGRO_567,MW401901,MW401937,-99.470826,17.358891,Gue_02,centro
C. formosa,URRA_69,MW401872,MW401940,-103.94241,19.59591,Jal_02,centro
C. formosa,FMNH 343605,HQ123802.1,NA,-100.225,17.2616667,Gue_07,centro
C. formosa,OMVP_0168,MW401903,MW401939,-97.906667,16.963333,Oax_02,centro
C. formosa,CONACYT04_026,MW401865,MW401904,-95.829638,16.44958,Oax_01,isthmo
C. formosa,CONACYT04_212,MW401881,MW401906,-96.427361,15.934003,Oax_06,isthmo
C. formosa,CONACYT_1283,MW401866,MW401910,-95.0425,16.7925,Oax_12,isthmo
C. formosa,CONACYT_1284,MW401867,MW401912,-95.011622,16.670619,Oax_11,isthmo
C. formosa,CONACYT_1292,MW401868,MW401914,-95.115,16.745278,Oax_10,isthmo
C. formosa,CONACYT_1429,MW401869,MW401911,-95.0425,16.7925,Oax_09,isthmo
C. formosa,CONACYT_1490,MW401870,MW401915,-94.990109,16.632563,Oax_08,isthmo
C. formosa,CPM_286,MW401883,MW401908,-96.1945,15.76953,Oax_07,isthmo
C. formosa,MAF_300,MW401884,MW401909,-96.1945,15.76953,Oax_13,isthmo
C. formosa,NIZA_124,MW401885,MW401913,-95.02317,16.677953,Oax_03,isthmo
C. formosa,NIZA_40,MW401880,MW401905,-95.0425,16.7925,Oax_05,isthmo
C. formosa,PLU_204,MW401882,MW401907,-96.420892,15.92515,Oax_04,isthmo
C. colliei,CSW_7392,MW401854,MW401951,-108.80833,26.305,Sin_12,norte
C. colliei,CSW_7422,MW401861,MW401947,-108.8089,26.3054,Sin_03,norte
C. colliei,CSW_7428,MW401864,MW401948,-108.39,26.654,Sin_04,norte
C. colliei,EAG_54,MW401857,MW401952,-106.76333,24.303333,Sin_15,norte
C. colliei,MFOR_504,MW401858,MW401953,-108.39,26.65333,Sin_14,norte
C. colliei,ORT11_001,MW401860,MW401945,-107.99272,25.364556,Sin_08,norte
C. colliei,ORT11_002,MW401856,MW401943,-107.99272,25.364556,Sin_09,norte
C. colliei,ORT11_021,MW401852,MW401956,-106.13611,23.255369,Sin_10,norte
C. colliei,RCF_2621,MW401862,MW401950,-106.764,24.304,Sin_07,norte
C. colliei,SIN_124,MW401853,MW401955,-105.97444,23.367778,Sin_11,norte
C. colliei,URRA_42,MW401855,MW401949,-105.3575,20.34523,Jal_01,norte
C. colliei,URRA_22,MW401871,MW401954,-105.42156,20.259389,Jal_03,norte
C. colliei,VGR_943,MW401859,MW401944,-108.39,26.654,Sin_05,norte
C. formosa,KUNHM_9352,DQ912602.1,MW401916,-88.508833,13.224,Sal_01,sur
C. formosa,KUNMH_9368,MW401895,MW401917,-88.761667,13.238333,Sal_02,sur
C. formosa,CHIS_117,MW401877,MW401930,-93.72381,15.995455,Chi_03,sur
C. formosa,CHIS_167,MW401879,MW401931,-93.874628,16.303057,Chi_02,sur
C. formosa,CHIS_364,MW401878,MW401933,-93.806667,16.158056,Chi_01,sur
C. formosa,DAB_1520,MW401893,MW401922,-86.95,12.683333,Nic_01,sur
C. formosa,DAB_1558,MW401894,MW401926,-86.95,12.683333,Nic_02,sur
C. formosa,DAB_1562,MW401889,MW401927,-86.95,12.683333,Nic_03,sur
C. formosa,DAB_1563,MW401887,MW401929,-86.95,12.683333,Nic_04,sur
C. formosa,DAB_1657,MW401891,MW401918,-85.795,11.145,Nic_09,sur
C. formosa,DAB_1663,MW401890,MW401919,-85.795,11.145,Nic_10,sur
C. formosa,DAB_1665,MW401892,MW401920,-85.795,11.145,Nic_11,sur
C. formosa,DAB_1873,MW401896,MW401924,-85.9583,11.76,Nic_05,sur
C. formosa,DAB_1885,MW401898,MW401928,-85.9583,11.76,Nic_06,sur
C. formosa,DAB_1886,MW401899,MW401921,-85.9583,11.76,Nic_07,sur
C. formosa,DAB_1900,MW401897,MW401932,-85.9583,11.76,Nic_08,sur
C. formosa,DAB_989,MW401888,MW401925,-86.314054,12.228059,Nic_12,sur
C. formosa,DAB_990,MW401886,MW401923,-86.314054,12.228059,Nic_13,sur
Cyanocitta cristata*,KUNHM 4390/SPP1513-23733,DQ912604.1,DQ434558.1,NA,NA,C_cristata,
Aphelocoma coerulescens*,FMNH 396259 / FMNH 396261,DQ912601.1,DQ432737.1,NA,NA,A_coerulescens,
Cyanocorax yncas*,MZFC 15927/2021,GU144847.1,DQ433558.1,NA,NA,C_yncas,
Psilorhinus morio*,KUNHM B-1896/USNM:Birds:614081,DQ912607.1,JQ174603.1,NA,NA,P_morio,
